Observation time UTC,Air temperature (dry bulb) [Deg C],Wet bulb temperature [Deg C],Dew point temperature [Deg C],Relative humidity [%],Data Source (dry bulb),Data Source (wet bulb)
1942-12-07T21:00:00Z,19.1,18.6,18.3,95.1,D,D
1942-12-08T21:00:00Z,20.1,19.5,19.2,94.3,D,D
1942-12-09T21:00:00Z,18.9,15.5,12.9,68.2,D,D
1942-12-10T21:00:00Z,19.4,17.8,16.8,84.8,D,D
1942-12-11T21:00:00Z,20,19,18.4,90.6,D,D
1942-12-12T21:00:00Z,22.3,20.4,19.3,83.4,D,D
1942-12-13T21:00:00Z,18.6,16.4,14.9,78.8,D,D
1942-12-14T21:00:00Z,17.3,12.8,8.6,56.6,D,D
1942-12-15T21:00:00Z,17.7,13.8,10.5,62.5,D,D
1942-12-16T21:00:00Z,18.5,14.6,11.4,63.4,D,D
1942-12-17T21:00:00Z,19.4,15.6,12.7,65.2,D,D
1942-12-18T21:00:00Z,19.7,14.9,11,57.1,D,D
1942-12-19T21:00:00Z,20.2,16.9,14.6,70.2,D,D
1942-12-20T21:00:00Z,18.9,15.5,12.9,68.2,D,D
1942-12-21T21:00:00Z,19.3,15.2,12,62.5,D,D
1942-12-22T21:00:00Z,18.4,14.4,11.1,62.4,D,D
1942-12-23T21:00:00Z,17.1,15.1,13.6,79.8,D,D
1942-12-24T21:00:00Z,17.2,13.8,10.9,66.6,D,D
1942-12-25T21:00:00Z,18.6,16.1,14.3,76.1,D,D
1942-12-26T21:00:00Z,19.8,16.1,13.4,66.4,D,D
1942-12-27T21:00:00Z,19.5,15.9,13.2,67,D,D
1942-12-28T21:00:00Z,21.7,17.3,14.2,62.5,D,D
1942-12-29T21:00:00Z,18.9,18.6,18.4,97,D,D
1942-12-30T21:00:00Z,20.6,16.3,13.1,62.2,D,D
1942-12-31T21:00:00Z,23.1,19,16.4,66.1,D,D
1943-01-01T21:00:00Z,19.3,15.8,13.2,67.7,D,D
1943-01-02T21:00:00Z,18.8,11.9,4.5,38.8,D,D
1943-01-03T21:00:00Z,18.4,13.7,9.6,56.3,D,D
1943-01-04T21:00:00Z,18.5,14.4,11,61.6,D,D
1943-01-05T21:00:00Z,19.4,16.1,13.7,69.5,D,D
1943-01-06T21:00:00Z,20.9,16.8,13.9,64.1,D,D
1943-01-07T21:00:00Z,21.8,18.2,15.9,69,D,D
1943-01-08T21:00:00Z,21.6,18.2,16,70.5,D,D
1943-01-09T21:00:00Z,21.7,18.3,16.1,70.5,D,D
1943-01-10T21:00:00Z,22.1,18.3,15.8,67.6,D,D
1943-01-11T21:00:00Z,21.2,18.8,17.3,78.6,D,D
1943-01-12T21:00:00Z,20,15.7,12.4,61.6,D,D
1943-01-13T21:00:00Z,20,16.7,14.4,70,D,D
1943-01-14T21:00:00Z,20.9,17.2,14.6,67.4,D,D
1943-01-15T21:00:00Z,22.8,20.7,19.5,81.9,D,D
1943-01-16T21:00:00Z,23.7,20.7,19,75.1,D,D
1943-01-17T21:00:00Z,23.8,21.4,20.1,79.9,D,D
1943-01-18T21:00:00Z,21.2,21.1,21,99.1,D,D
1943-01-19T21:00:00Z,20,16.1,13.2,64.9,D,D
1943-01-20T21:00:00Z,20.6,15.8,12.1,58.2,D,D
1943-01-21T21:00:00Z,20,14.4,9.6,51,D,D
1943-01-22T21:00:00Z,19.6,15.5,12.3,62.8,D,D
1943-01-23T21:00:00Z,20.7,17.6,15.5,72.3,D,D
1943-01-24T21:00:00Z,21.5,19.8,18.8,84.8,D,D
1943-01-25T21:00:00Z,20.8,17.7,15.6,72.4,D,D
1943-01-26T21:00:00Z,20.2,16.9,14.6,70.2,D,D
1943-01-27T21:00:00Z,19.3,16.8,15.1,76.5,D,D
1943-01-28T21:00:00Z,20.7,18.3,16.8,78.3,D,D
1943-01-29T21:00:00Z,25.1,20.6,18,64.9,D,D
1943-01-30T21:00:00Z,23.9,20.3,18.2,70.6,D,D
1943-01-31T21:00:00Z,22.3,18.6,16.3,68.6,D,D
1943-02-01T21:00:00Z,22.4,19.9,18.5,78.4,D,D
1943-02-02T21:00:00Z,22.2,20.7,19.9,86.7,D,D
1943-02-03T21:00:00Z,22,19.2,17.5,75.7,D,D
1943-02-04T21:00:00Z,22.2,20.6,19.7,85.9,D,D
1943-02-05T21:00:00Z,22.2,20.9,20.2,88.5,D,D
1943-02-06T21:00:00Z,23.4,20.4,18.7,74.9,D,D
1943-02-07T21:00:00Z,20.6,17.2,14.9,69.7,D,D
1943-02-08T21:00:00Z,18.8,14.4,10.7,59.4,D,D
1943-02-09T21:00:00Z,18.9,15.3,12.5,66.4,D,D
1943-02-10T21:00:00Z,19.7,15.2,11.6,59.6,D,D
1943-02-11T21:00:00Z,20.7,16.9,14.2,66.4,D,D
1943-02-12T21:00:00Z,19.8,16.5,14.1,69.9,D,D
1943-02-13T21:00:00Z,19.6,16.4,14.1,70.6,D,D
1943-02-14T21:00:00Z,20.3,16.4,13.6,65.2,D,D
1943-02-15T21:00:00Z,18.5,16.6,15.3,81.6,D,D
1943-02-16T21:00:00Z,19.3,17.1,15.6,79.2,D,D
1943-02-17T21:00:00Z,19.6,15.6,12.5,63.7,D,D
1943-02-18T21:00:00Z,19.2,16.1,13.8,71.1,D,D
1943-02-19T21:00:00Z,19,16.5,14.7,76.3,D,D
1943-02-20T21:00:00Z,17.8,17.2,16.8,93.9,D,D
1943-02-21T21:00:00Z,22.9,20.8,19.7,82,D,D
1943-02-22T21:00:00Z,23.1,20.1,18.4,74.8,D,D
1943-02-23T21:00:00Z,21.7,19.6,18.4,81.4,D,D
1943-02-24T21:00:00Z,20.3,14.8,10.2,52.2,D,D
1943-02-25T21:00:00Z,19.8,14.6,10.2,54,D,D
1943-02-26T21:00:00Z,19.4,15.7,12.9,66,D,D
1943-02-27T21:00:00Z,18.9,15,11.9,63.8,D,D
1943-02-28T21:00:00Z,19.4,15.4,12.3,63.5,D,D
1943-03-01T21:00:00Z,19.8,15.4,12,60.5,D,D
1943-03-02T21:00:00Z,20,17.3,15.5,75.2,D,D
1943-03-03T21:00:00Z,20.1,18.1,16.8,81.5,D,D
1943-03-04T21:00:00Z,19.9,18.1,17,83.2,D,D
1943-03-05T21:00:00Z,22.7,19.8,18.1,75.3,D,D
1943-03-06T21:00:00Z,22.2,20,18.7,80.8,D,D
1943-03-07T21:00:00Z,18.8,15.5,13,69,D,D
1943-03-08T21:00:00Z,22.3,17.7,14.6,61.6,D,D
1943-03-09T21:00:00Z,20.6,17,14.5,68,D,D
1943-03-10T21:00:00Z,17.2,15.4,14.1,81.8,D,D
1943-03-11T21:00:00Z,17.7,13.3,9.4,58.1,D,D
1943-03-12T21:00:00Z,14,13.8,13.6,97.7,D,D
1943-03-13T21:00:00Z,18.8,15.6,13.2,69.9,D,D
1943-03-14T21:00:00Z,17.1,15,13.4,78.8,D,D
1943-03-15T21:00:00Z,19.4,18.3,17.6,89.5,D,D
1943-03-16T21:00:00Z,17.8,13.6,9.9,59.9,D,D
1943-03-17T21:00:00Z,17.4,15.1,13.4,77.1,D,D
1943-03-18T21:00:00Z,18.2,13.7,9.8,57.8,D,D
1943-03-19T21:00:00Z,16.6,12.8,9.3,62.2,D,D
1943-03-20T21:00:00Z,16.7,14.4,12.6,76.6,D,D
1943-03-21T21:00:00Z,18.4,15.6,13.5,73.2,D,D
1943-03-22T21:00:00Z,17.2,14.4,12.2,72.2,D,D
1943-03-23T21:00:00Z,18.7,15,12.1,65.4,D,D
1943-03-24T21:00:00Z,18.2,18,17.9,98,D,D
1943-03-25T21:00:00Z,18.8,14.4,10.7,59.4,D,D
1943-03-26T21:00:00Z,14.8,13.9,13.2,90.1,D,D
1943-03-27T21:00:00Z,20.2,16.1,13,63.5,D,D
1943-03-28T21:00:00Z,20.5,16.2,13,62.1,D,D
1943-03-29T21:00:00Z,19.9,16.8,14.6,71.7,D,D
1943-03-30T21:00:00Z,18.3,16.3,14.9,80.5,D,D
1943-03-31T21:00:00Z,16.7,15.5,14.6,87.6,D,D
1943-04-01T21:00:00Z,20.6,19.8,19.3,92.5,D,D
1943-04-02T21:00:00Z,16.6,14.6,13,79.5,D,D
1943-04-03T21:00:00Z,17.9,12.2,6.5,47.1,D,D
1943-04-04T21:00:00Z,18.3,14.7,11.8,65.8,D,D
1943-04-05T21:00:00Z,16.7,13.7,11.2,69.8,D,D
1943-04-06T21:00:00Z,16.7,15.3,14.3,85.6,D,D
1943-04-07T21:00:00Z,19.2,16.2,14,72,D,D
1943-04-08T21:00:00Z,19,16.9,15.5,80,D,D
1943-04-09T21:00:00Z,17.3,13.7,10.6,64.8,D,D
1943-04-10T21:00:00Z,16.3,12.4,8.7,60.9,D,D
1943-04-11T21:00:00Z,17.9,14.7,12.2,69.1,D,D
1943-04-12T21:00:00Z,15.7,13.1,10.9,72.9,D,D
1943-04-13T21:00:00Z,17.3,13.8,10.8,65.7,D,D
1943-04-14T21:00:00Z,13.6,12.6,11.7,88.5,D,D
1943-04-15T21:00:00Z,20.2,19.4,18.9,92.5,D,D
1943-04-16T21:00:00Z,20.4,19.2,18.5,88.8,D,D
1943-04-17T21:00:00Z,19.7,18.3,17.4,86.8,D,D
1943-04-18T21:00:00Z,16.7,16.7,16.7,100,D,D
1943-04-19T21:00:00Z,19.1,17.8,17,87.5,D,D
1943-04-20T21:00:00Z,16.5,16,15.7,94.7,D,D
1943-04-21T21:00:00Z,18.4,16,14.3,76.8,D,D
1943-04-22T21:00:00Z,16.9,16.3,15.9,93.8,D,D
1943-04-23T21:00:00Z,18.6,18.3,18.1,97,D,D
1943-04-24T21:00:00Z,17.2,12.7,8.5,56.5,D,D
1943-04-25T21:00:00Z,17.2,13.1,9.4,60.1,D,D
1943-04-26T21:00:00Z,13.6,12.9,12.3,91.9,D,D
1943-04-27T21:00:00Z,13.8,13.4,13.1,95.4,D,D
1943-04-28T21:00:00Z,13.6,13.4,13.2,97.7,D,D
1943-04-29T21:00:00Z,16.6,15.2,14.2,85.5,D,D
